"Ytrain","PC1","PC2","sexFemale","age","raceAfrican.American","raceAsian","raceCaucasian","raceHispanic","raceOther","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degreeM","log.age.","log.juv_fel_count.","log.juv_misd_count.","log.juv_other_count.","log.priors_count."
1,2.69971592817819,-2.04390217940984,0,69,0,0,0,0,1,0,0,0,0,0,4.24849524204936,0,0,0,0
2,0.933316681781545,0.929349713568988,0,34,1,0,0,0,0,0,0,0,0,0,3.55534806148941,0,0,0,0
1,1.13225416598835,-0.868681480082263,0,43,0,0,0,0,1,0,0,0,2,0,3.78418963391826,0,0,0,1.09861228866811
1,1.99751315682444,0.0909250966968381,0,44,0,0,0,0,1,0,0,0,0,1,3.80666248977032,0,0,0,0
2,-0.300340778273333,-2.95780661683317,0,41,0,0,1,0,0,0,0,0,14,0,3.73766961828337,0,0,0,2.70805020110221
1,0.933658280141066,-1.16314045144951,0,43,0,0,0,0,1,0,0,0,3,0,3.78418963391826,0,0,0,1.38629436111989
1,2.02125012452961,0.542661970204535,1,39,0,0,1,0,0,0,0,0,0,1,3.68887945411394,0,0,0,0
2,0.364279766194678,1.99242804124094,0,21,0,0,1,0,0,0,0,0,1,0,3.09104245335832,0,0,0,0.693147180559945
1,1.13159369877598,1.73565851750767,0,27,0,0,1,0,0,0,0,0,0,0,3.3322045101752,0,0,0,0
1,1.23808483452756,0.190035686555776,0,41,1,0,0,0,0,0,0,0,0,0,3.73766961828337,0,0,0,0
2,1.77539870752631,-0.901703559507144,1,47,0,0,1,0,0,0,0,0,1,0,3.87120101090789,0,0,0,0.693147180559945
2,-0.634740671632785,-0.834543209916967,0,31,1,0,0,0,0,0,0,0,7,0,3.46573590279973,0,0,0,2.07944154167984
1,1.68522744396519,0.755908291013833,0,37,0,0,0,1,0,0,0,0,0,1,3.63758615972639,0,0,0,0
1,-0.399189214112346,0.763277074933087,0,25,1,0,0,0,0,0,0,0,3,0,3.25809653802148,0,0,0,1.38629436111989
2,0.0312773544191977,-0.70290560532249,0,31,0,0,1,0,0,0,0,0,6,0,3.46573590279973,0,0,0,1.94591014905531
2,0.159694171546423,-0.511509967048302,0,31,0,0,1,0,0,0,0,0,5,0,3.46573590279973,0,0,0,1.79175946922805
2,0.0557477621615226,-4.77669327217219,0,64,1,0,0,0,0,0,0,0,13,0,4.17438726989564,0,0,0,2.63905732961526
2,-0.184158163182989,2.03627152162087,0,21,1,0,0,0,0,0,0,0,1,0,3.09104245335832,0,0,0,0.693147180559945
2,1.28509625340041,1.79840412951324,0,27,0,0,1,0,0,0,0,0,0,1,3.3322045101752,0,0,0,0
1,0.940602861049213,2.73129277710483,1,21,0,0,1,0,0,0,0,0,0,0,3.09104245335832,0,0,0,0
2,0.464950538180946,1.67628601296978,0,24,0,0,0,1,0,0,0,0,1,0,3.2188758248682,0,0,0,0.693147180559945
1,1.60921313559151,-0.594574767635154,0,43,0,0,1,0,0,0,0,0,1,1,3.78418963391826,0,0,0,0.693147180559945
1,1.47771808904113,1.35181420069323,0,32,0,0,0,0,1,0,0,0,0,1,3.49650756146648,0,0,0,0
2,-0.950830904273176,-0.495720544156768,0,27,1,0,0,0,0,0,0,0,8,0,3.3322045101752,0,0,0,2.19722457733622
1,0.866541485585665,-0.490948109164699,1,36,0,0,1,0,0,0,0,0,3,0,3.61091791264422,0,0,0,1.38629436111989
2,-2.98374359013767,1.27121639207242,0,26,1,0,0,0,0,0,0,1,5,0,3.29583686600433,0,0,0.693147180559945,1.79175946922805
2,0.886507408389143,1.04295291907827,0,33,1,0,0,0,0,0,0,0,0,0,3.52636052461616,0,0,0,0
